Youtube ID,Representation Count
9bZkp7q19f0,18
e-ORhEE9VVg,18
RgKAFK5djSk,18
OPf0YbXqDm0,12
nfWlot6h_JM,18
kffacxfA7G4,13
NUsoVlDFqZg,18
0KSOMA3QBU0,18
7PCkvCPvDXk,18
CevxZvSJLk8,18
HP-MbfHFUqs,16
YQHsXMglC9A,18
KYniUCGPGLs,18
hT_nvWreIhg,18
2vjPBrBU-TM,18
YqeW9_5kURI,18
09R8_2nJtjg,18
KQ6zr6kCPj8,18
pRpeEdMmmQ0,18
uelHwf8o7_U,18
AJtDXIazrMo,18
lp-EO5I60KA,18
ASO_zypdnsQ,18
t4H_Zoh7G5A,18
QFs3PIZb3js,18
RBumgq5yVrA,18
IcrbM1l_BoI,18
fRh_vgS2dFE,18
QK8mJJJvaes,18
rYEDA3JcQqw,24
fLexgOxsZu0,16
_OBlgSz8sSM,13
PIh2xe4jnpk,18
My2FRPA3Gf8,18
y6Sxv-sUYtM,18
fWNaR-rxAic,18
450p7goxZqg,19
QcIy9NiNbmo,18
DK_0jXPuIr0,18
hHUbLv4ThOo,18
iS1g8G_njx8,18
gCYcHz2k5x0,23
CGyEd0aKWZE,18
8UVNT4wvIGY,18
TapXs54Ah3E,18
QJO3ROT-A4E,20
j5-yKhDd64s,18
lWA2pjMjpBs,18
7OHMqdMpsj8,16
hiP14ED28CA,18
ebXbLfLACGM,18
astISOttCQ0,13
L0MK7qz13bU,18
QGJuMBdaqIw,18
O-zpOMYRi0w,18
bdOXnTbyk0g,18
LjhCEhWiKXk,16
hcm55lU9knw,18
dhsy6epaJGs,18
vjW8wmF5VWc,18
6QG4n3-rKTs,18
SmM0653YvXU,20
qrO4YZeyl0I,13
3O1_3zBUKM8,18
hLQl3WQQoQ0,20
LrUvu1mlWco,18
o3mP3mJDL2k,18
YBHQbu5rbdQ,18
kHSFpGBFGHY,18
7-7knsP2n5w,18
yzTuBuRdAyA,18
KlyXNRrsk4A,18
wcLNteez3c4,18
uO59tfQ2TbA,18
0HDdjwpPM3Y,18
Ys7-6_t7OEQ,18
iO2IR0ixD08,18
iibZa2tbGEg,18
jofNR_WkoCE,18
yCjJyiqpAuU,13
tg00YEETFzg,20
L8eRzOYhLuw,18
nCkpzqqog4k,18
4JipHEz53sU,18
nlcIKh6sBtc,18
LDZX4ooRsWs,18
pB-5XG-DbAA,18
VuNIsY6JdUw,13
KWZGAExj-es,18
_Z5-P9v3F8w,13
kYtGl1dX5qI,18
JRfuAukYTKg,18
mI0FKAIlSeU,16
8SbUC-UaAxE,13
BGa3AqeqRy0,18
EPo5wWmKEaI,18
bbEoRnaOIbs,18
yUV9JwiQLog,18
moSFlvxnbgk,18
SR6iYWJxHqs,16
U0CGsw6h60k,13
6BTjG-dhf5s,18
ME2Hufquz0k,18
OpQFFLBMEPI,18
4GuqB1BQVr4,18
M11SvDtPBhA,16
oC-GflRB0y4,18
nntGTK2Fhb0,18
fwK7ggA3-bU,18
JF8BRvqGCNs,18
1G4isv_Fylg,20
CdXesX6mYUE,16
uxpDa-c-4Mc,18
5dbEhBKGOtY,18
qMxX-QOV9tI,13
ktvTqknDobU,18
pa14VNsdSYM,13
k0BWlvnBmIE,18
Bznxx12Ptl0,18
lS_ubz6Sa9c,18
4m1EFMoRFvY,13
TGtWWb9emYI,18
JXRN_LkCa_o,18
kHue-HaXXzg,18
CHVhwcOg6y8,13
W-TE_Ys4iwM,18
Y1xs_xPb46M,18
AbPED9bisSc,18
7RMQksXpQSk,18
yyDUC1LUXSU,18
hXI8RQYC36Q,18
I8vzbIuvhoo,18
KEI4qSrkPAs,18
tLcfAnN2QgY,18
x1fe8-Qli9E,18
jGflUbPQfW8,18
n-D1EB74Ckg,18
o_v9MY_FMcw,18
AtKZKl7Bgu0,18
zZjSX01P5dE,18
kdemFfbS5H0,18
uU_FFtbCcLc,18
YJVmu6yttiw,18
z1gFMujtH-o,18
HMUDVMiITOU,18
YJyNoFkud6g,16
uuwfgXD8qV8,18
e-fA-gBCkj0,16
qRp3-D3SMwI,16
CfihYWRWRTQ,18
t5Sd5c4o9UM,18
xcL-oGPxgCg,18
2zNSgSzhBfM,18
EgqUJOudrcM,18
rtOvBOTyX00,18
Sv6dMFF_yts,18
m-M1AtrxztU,18
RSyUWjftHrs,18
i_kF4zLNKio,16
P2hM9CLAMu4,18
-CmadmM5cOk,18
sEhy-RXkNo0,18
iEPTlhBmwRg,20
PVzljDmoPVs,18
OZLUa8JUR18,18
SYM-RJwSGQ8,18
lf_wVfwpfp8,18
ekzHIouo8Q4,18
IdneKLhsWOQ,18
1wYNFfgrXTI,13
AByfaYcOm4A,18
u3u22OYqFGo,18
CSvFpBOe8eY,13
g5qU7p7yOY8,18
OxxggwHFj7M,23
EHkozMIXZ8w,18
WA4iX5D9Z64,18
h6szTEZn1m4,16
uuZE_IRwLNI,18
wyx6JDQCslE,20
kTHNpusq654,16
Ahha3Cqe_fk,20
bnVUHWCynig,13
bjgFH01k0gU,18
ij_0p_6qTss,18
Jwgf3wmiA04,18
e82VE8UtW8A,13
BELlZKpi1Zs,16
hTWKbfoikeg,13
mWRsgZuwf_8,18
qDc_5zpBj7s,18
cSnkWzZ7ZAA,18
HBxt_v0WF6Y,18
aPxVSCfoYnU,18
W-w3WfgpcGg,18
p1JPKLa-Ofc,18
YXnjy5YlDwk,18
5qm8PH4xAss,13
aFEL3bAj3zw,18
FOjdXSrtUxA,18
1y6smkh6c-0,18
wzMrK-aGCug,18
FlsBObg-1BQ,10
6Ejga4kJUts,13
8iPcqtHoR3U,18
JI-5kh_4gO0,18
QCUg2r3vyJc,13
SOI4OF7iIr4,18
AgFeZr5ptV8,18
RbtPXFlZlHg,18
kXYiU_JCYtU,11
orxXlAltFQg,18
Xmap94TcDNs,18
8gyLR4NfMiI,18
oiKj0Z_Xnjc,18
kt0g4dWxEBo,18
5jlI4uzZGjU,18
J9NQFACZYEU,18
xd12hR68sWM,13
bpOR_HuHRNs,18
T4cdfRohhcg,18
tFoUuFq3vHw,16
EgT_us6AsDg,18
fiore9Z5iUg,18
Bg59q4puhmg,13
MYSVMgRr6pw,18
ESXgJ9-H-2U,18
kn6-c223DUU,16
k4YRWT_Aldo,18
i1Jp-V4jalI,18
R4em3LKQCAQ,18
bg1sT4ILG0w,18
DUT5rEU6pqM,13
os00JDq_rKk,19
vNoKguSdy4Y,18
3rgwIp6D3ow,18
sOnqjkJTMaA,13
Nmna2yIpW2Y,16
HWyEEj2pSt0,18
VBmMU_iwe6U,18
SkTt9k4Y-a8,18
0yr75-gxVtM,18
SB8-YY2DyHI,18
JwQZQygg3Lk,18
dMH0bHeiRNg,10
I9cCPQVPv8o,11
Tldlt2RhrDw,18
_UR-l3QI2nE,18
36mCEZzzQ3o,18
KrVC5dm5fFc,16
4DO8GsIYfhQ,11
F90Cw4l-8NY,18
YVw7eJ0vGfM,18
vx2u5uUu3DE,13
bESGLojNYSo,13
JXoAmDDPZz4,10
