Youtube ID,Video Codec,Audio Codec,Width,Height,FPS,Extension,Format,Resolution,Bitrate
9bZkp7q19f0,avc1.4d400c,none,256,144,12,mp4,160 - 256x144 (DASH video),256x144,111
9bZkp7q19f0,vp9,none,256,144,12,webm,278 - 256x144 (DASH video),256x144,153
9bZkp7q19f0,avc1.4d4015,none,426,240,24,mp4,133 - 426x240 (DASH video),426x240,248
9bZkp7q19f0,vp9,none,426,240,24,webm,242 - 426x240 (DASH video),426x240,329
9bZkp7q19f0,vp9,none,640,360,24,webm,243 - 640x360 (DASH video),640x360,616
9bZkp7q19f0,avc1.4d401e,none,640,360,24,mp4,134 - 640x360 (DASH video),640x360,622
9bZkp7q19f0,avc1.4d401e,none,854,480,24,mp4,135 - 854x480 (DASH video),854x480,1141
9bZkp7q19f0,vp9,none,854,480,24,webm,244 - 854x480 (DASH video),854x480,1172
9bZkp7q19f0,avc1.4d401f,none,1280,720,24,mp4,136 - 1280x720 (DASH video),1280x720,2265
9bZkp7q19f0,vp9,none,1280,720,24,webm,247 - 1280x720 (DASH video),1280x720,2295
9bZkp7q19f0,vp9,none,1920,1080,24,webm,248 - 1920x1080 (DASH video),1920x1080,4094
9bZkp7q19f0,avc1.640028,none,1920,1080,24,mp4,137 - 1920x1080 (DASH video),1920x1080,4229
9bZkp7q19f0,mp4v.20.3,mp4a.40.2,320,0,0,3gp,36 - 320x? (small),320x?,none
9bZkp7q19f0,mp4v.20.3,mp4a.40.2,176,144,0,3gp,17 - 176x144 (small),176x144,24
9bZkp7q19f0,h263,mp3,400,240,0,flv,5 - 400x240 (small),400x240,64
9bZkp7q19f0,vp8.0,vorbis,640,360,0,webm,43 - 640x360 (medium),640x360,128
9bZkp7q19f0,avc1.42001E,mp4a.40.2,640,360,0,mp4,18 - 640x360 (medium),640x360,96
9bZkp7q19f0,avc1.64001F,mp4a.40.2,1280,720,0,mp4,22 - 1280x720 (hd720),1280x720,192
e-ORhEE9VVg,vp9,none,256,144,12,webm,278 - 256x144 (144p),256x144,108.251
e-ORhEE9VVg,avc1.4d400c,none,256,144,12,mp4,160 - 256x144 (144p),256x144,120.796
e-ORhEE9VVg,vp9,none,426,240,24,webm,242 - 426x240 (240p),426x240,234.365
e-ORhEE9VVg,avc1.4d4015,none,426,240,24,mp4,133 - 426x240 (240p),426x240,249.337
e-ORhEE9VVg,avc1.4d401e,none,640,360,24,mp4,134 - 640x360 (360p),640x360,405.408
e-ORhEE9VVg,vp9,none,640,360,24,webm,243 - 640x360 (360p),640x360,409.592
e-ORhEE9VVg,vp9,none,854,480,24,webm,244 - 854x480 (480p),854x480,640.562
e-ORhEE9VVg,avc1.4d401e,none,854,480,24,mp4,135 - 854x480 (480p),854x480,773.046
e-ORhEE9VVg,vp9,none,1280,720,24,webm,247 - 1280x720 (720p),1280x720,1148.56
e-ORhEE9VVg,avc1.4d401f,none,1280,720,24,mp4,136 - 1280x720 (720p),1280x720,1316.914
e-ORhEE9VVg,avc1.640028,none,1920,1080,24,mp4,137 - 1920x1080 (1080p),1920x1080,2178.741
e-ORhEE9VVg,vp9,none,1920,1080,24,webm,248 - 1920x1080 (1080p),1920x1080,2271.709
e-ORhEE9VVg,mp4v.20.3,mp4a.40.2,320,0,0,3gp,36 - 320x? (small),320x?,none
e-ORhEE9VVg,mp4v.20.3,mp4a.40.2,176,144,0,3gp,17 - 176x144 (small),176x144,24
e-ORhEE9VVg,h263,mp3,400,240,0,flv,5 - 400x240 (small),400x240,64
e-ORhEE9VVg,vp8.0,vorbis,640,360,0,webm,43 - 640x360 (medium),640x360,128
e-ORhEE9VVg,avc1.42001E,mp4a.40.2,640,360,0,mp4,18 - 640x360 (medium),640x360,96
e-ORhEE9VVg,avc1.64001F,mp4a.40.2,1280,720,0,mp4,22 - 1280x720 (hd720),1280x720,192
RgKAFK5djSk,vp9,none,256,144,12,webm,278 - 256x144 (144p),256x144,107.014
RgKAFK5djSk,avc1.4d400c,none,256,144,12,mp4,160 - 256x144 (144p),256x144,112.364
RgKAFK5djSk,vp9,none,426,240,24,webm,242 - 426x240 (240p),426x240,235.876
RgKAFK5djSk,avc1.4d4015,none,426,240,24,mp4,133 - 426x240 (240p),426x240,251.638
RgKAFK5djSk,avc1.4d401e,none,640,360,24,mp4,134 - 640x360 (360p),640x360,412.415
RgKAFK5djSk,vp9,none,640,360,24,webm,243 - 640x360 (360p),640x360,424.293
RgKAFK5djSk,vp9,none,854,480,24,webm,244 - 854x480 (480p),854x480,712.638
RgKAFK5djSk,avc1.4d401e,none,854,480,24,mp4,135 - 854x480 (480p),854x480,851.681
RgKAFK5djSk,vp9,none,1280,720,24,webm,247 - 1280x720 (720p),1280x720,1363.485
RgKAFK5djSk,avc1.4d401f,none,1280,720,24,mp4,136 - 1280x720 (720p),1280x720,1560.709
RgKAFK5djSk,vp9,none,1920,1080,24,webm,248 - 1920x1080 (1080p),1920x1080,2711.902
RgKAFK5djSk,avc1.640028,none,1920,1080,24,mp4,137 - 1920x1080 (1080p),1920x1080,2894.272
RgKAFK5djSk,mp4v.20.3,mp4a.40.2,320,0,0,3gp,36 - 320x? (small),320x?,none
RgKAFK5djSk,mp4v.20.3,mp4a.40.2,176,144,0,3gp,17 - 176x144 (small),176x144,24
RgKAFK5djSk,h263,mp3,400,240,0,flv,5 - 400x240 (small),400x240,64
RgKAFK5djSk,vp8.0,vorbis,640,360,0,webm,43 - 640x360 (medium),640x360,128
RgKAFK5djSk,avc1.42001E,mp4a.40.2,640,360,0,mp4,18 - 640x360 (medium),640x360,96
RgKAFK5djSk,avc1.64001F,mp4a.40.2,1280,720,0,mp4,22 - 1280x720 (hd720),1280x720,192
OPf0YbXqDm0,avc1.4d400c,none,256,144,12,mp4,160 - 256x144 (DASH video),256x144,110
OPf0YbXqDm0,avc1.4d4015,none,426,240,24,mp4,133 - 426x240 (DASH video),426x240,249
OPf0YbXqDm0,avc1.4d401e,none,640,360,24,mp4,134 - 640x360 (DASH video),640x360,617
OPf0YbXqDm0,avc1.4d401e,none,854,480,24,mp4,135 - 854x480 (DASH video),854x480,1127
OPf0YbXqDm0,avc1.4d401f,none,1280,720,24,mp4,136 - 1280x720 (DASH video),1280x720,2255
OPf0YbXqDm0,avc1.640028,none,1920,1080,24,mp4,137 - 1920x1080 (DASH video),1920x1080,4156
OPf0YbXqDm0,mp4v.20.3,mp4a.40.2,320,0,0,3gp,36 - 320x? (small),320x?,none
OPf0YbXqDm0,mp4v.20.3,mp4a.40.2,176,144,0,3gp,17 - 176x144 (small),176x144,24
OPf0YbXqDm0,h263,mp3,400,240,0,flv,5 - 400x240 (small),400x240,64
OPf0YbXqDm0,vp8.0,vorbis,640,360,0,webm,43 - 640x360 (medium),640x360,128
OPf0YbXqDm0,avc1.42001E,mp4a.40.2,640,360,0,mp4,18 - 640x360 (medium),640x360,96
OPf0YbXqDm0,avc1.64001F,mp4a.40.2,1280,720,0,mp4,22 - 1280x720 (hd720),1280x720,192
nfWlot6h_JM,vp9,none,256,144,12,webm,278 - 256x144 (144p),256x144,108.684
nfWlot6h_JM,avc1.4d400c,none,256,144,12,mp4,160 - 256x144 (144p),256x144,111.121
nfWlot6h_JM,avc1.4d4015,none,426,240,24,mp4,133 - 426x240 (240p),426x240,248.4
nfWlot6h_JM,vp9,none,426,240,24,webm,242 - 426x240 (240p),426x240,262.691
nfWlot6h_JM,vp9,none,640,360,24,webm,243 - 640x360 (360p),640x360,483.509
